resources.name,resources.schema.fields.name,resources.schema.fields.var_class,resources.schema.fields.description,resources.schema.fields.constraints.enum
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,15-Railroad Crossing
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,16-Industrial Road
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,17-Transit - Express Lane
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,18-Forest Service/Logging Road
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,19-Public Driveway
TAS_ACCIDENT,ACCIDENT_LOCATION,99a. Research Content,The numeric code that describes location where accident occurred. Intersections include junctions of intersecting highways.,99-Other
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,00-Unknown
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,01-At Intersection
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,02-Between Intersection Exchanges
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,03-Intersection Of Road and Driveway
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,04-Bridge
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,05-Ferry Or Dock
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,06-Tunnel
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,07-Exit Deceleration Lane
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,08-Exit Ramp
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,09-Exit Intersection
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,10-Entrance Acceleration Lane
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,11-Entrance Ramp
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,12-Entrance Intersection
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,13-Off Highway
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,14-Parking Lot At Address
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,15-Railroad Crossing
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,16-Industrial Road
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,17-Transit - Express Lane
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,18-Forest Service/Logging Road
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,19-Public Driveway
TAS_ACCIDENT,ACCIDENT_LOCATION_SHORT_DESCRIPTION,99a. Research Content,The text description that describes location where accident occurred. Intersections include junctions of intersecting highways.,99-Other
TAS_ACCIDENT,ACCIDENT_TYPE,99a. Research Content,"The numeric code that describes the severity of the crash and is hierarchical according to the following order:
• Fatal accident - A crash that resulted in fatal injuries to one or more persons, with death occurring within 30 days of the accident.
• Bodily Injury - A crash resulting in an injury with no fatalities.
• Property Damage Only - Crash incident resulting in material damages to property (vehicle or non-vehicle, such as structures) with no injuries or fatalities.",5-Fatal accident
TAS_ACCIDENT,ACCIDENT_TYPE,99a. Research Content,"The numeric code that describes the severity of the crash and is hierarchical according to the following order:
• Fatal accident - A crash that resulted in fatal injuries to one or more persons, with death occurring within 30 days of the accident.
• Bodily Injury - A crash resulting in an injury with no fatalities.
• Property Damage Only - Crash incident resulting in material damages to property (vehicle or non-vehicle, such as structures) with no injuries or fatalities.",3-Bodily Injury
TAS_ACCIDENT,ACCIDENT_TYPE,99a. Research Content,"The numeric code that describes the severity of the crash and is hierarchical according to the following order:
• Fatal accident - A crash that resulted in fatal injuries to one or more persons, with death occurring within 30 days of the accident.
• Bodily Injury - A crash resulting in an injury with no fatalities.
• Property Damage Only - Crash incident resulting in material damages to property (vehicle or non-vehicle, such as structures) with no injuries or fatalities.",2-Property Damage Only
TAS_ACCIDENT,ACCIDENT_TYPE_SHORT_DESCRIPTION,99a. Research Content,"The text description that describes the severity of the crash and is hierarchical according to the following order:
• Fatal accident - A crash that resulted in fatal injuries to one or more persons, with death occurring within 30 days of the accident.
• Bodily Injury - A crash resulting in an injury with no fatalities.
• Property Damage Only - Crash incident resulting in material damages to property (vehicle or non-vehicle, such as structures) with no injuries or fatalities.",5-Fatal accident
TAS_ACCIDENT,ACCIDENT_TYPE_SHORT_DESCRIPTION,99a. Research Content,"The text description that describes the severity of the crash and is hierarchical according to the following order:
• Fatal accident - A crash that resulted in fatal injuries to one or more persons, with death occurring within 30 days of the accident.
• Bodily Injury - A crash resulting in an injury with no fatalities.
• Property Damage Only - Crash incident resulting in material damages to property (vehicle or non-vehicle, such as structures) with no injuries or fatalities.",3-Bodily Injury
TAS_ACCIDENT,ACCIDENT_TYPE_SHORT_DESCRIPTION,99a. Research Content,"The text description that describes the severity of the crash and is hierarchical according to the following order:
• Fatal accident - A crash that resulted in fatal injuries to one or more persons, with death occurring within 30 days of the accident.
• Bodily Injury - A crash resulting in an injury with no fatalities.
• Property Damage Only - Crash incident resulting in material damages to property (vehicle or non-vehicle, such as structures) with no injuries or fatalities.",2-Property Damage Only
TAS_ACCIDENT,ATTEND_CODE,99a. Research Content,"The numeric code that identifies if an investigation made at scene, vehicle not removed from scene.",1-Police Attended
TAS_ACCIDENT,ATTEND_CODE,99a. Research Content,"The numeric code that identifies if an investigation made at scene, vehicle not removed from scene.",2-Police did not attend
TAS_ACCIDENT,ATTEND_DESC,99a. Research Content,"The text description that identifies if an investigation made at scene, vehicle not removed from scene.",1-Police Attended
TAS_ACCIDENT,ATTEND_DESC,99a. Research Content,"The text description that identifies if an investigation made at scene, vehicle not removed from scene.",2-Police did not attend
TAS_ACCIDENT,BLOCK_NUMBER,6b. Strong Indirect Identifier - excluded,"The house, building, or lot number contained within the block or street address at which the entity was situated at the time of the crash.",
TAS_ACCIDENT,CITY_NAME,99a. Research Content,"The municipality in which the crash occurred. (e.g., VANCOUVER)",
TAS_ACCIDENT,REGION,99a. Research Content,The ICBC region in B.C. in which the crash occurred.,GV-Greater Vancouver
TAS_ACCIDENT,REGION,99a. Research Content,The ICBC region in B.C. in which the crash occurred.,FV-Fraser Valley
TAS_ACCIDENT,REGION,99a. Research Content,The ICBC region in B.C. in which the crash occurred.,NC-North Central
TAS_ACCIDENT,REGION,99a. Research Content,The ICBC region in B.C. in which the crash occurred.,SI-Southern Interior
TAS_ACCIDENT,REGION,99a. Research Content,The ICBC region in B.C. in which the crash occurred.,VI-Vancouver Island
TAS_ACCIDENT,REGION,99a. Research Content,The ICBC region in B.C. in which the crash occurred.,UKN-Unknown
TAS_ACCIDENT,STREET_DIRECTION,99a. Research Content,"The optional prefix or suffix used to identify roads or road infrastructure components divided by compass direction, usually for block numbering.",
TAS_ACCIDENT,STREET_NAME,6b. Strong Indirect Identifier - excluded,"The name of the street, thoroughfare or road infrastructure component where the crash occurred.",
TAS_ACCIDENT,STREET_TYPE,99a. Research Content,"The type of street, thoroughfare or road infrastructure component where the crash occurred.",
TAS_ACCIDENT,ACC_STREET_FULL_NAME,6b. Strong Indirect Identifier - excluded,The full name and type of the road infrastructure component where the crash occurred.,
TAS_ACCIDENT,CROSS_STREET_DIRECTION,99a. Research Content,"The optional prefix or suffix used to identify roads or road infrastructure components divided by compass direction, usually for purpose of block numbering. The direction of this attribute applies to the closest crossroad where the crash occurred.",
TAS_ACCIDENT,CROSS_STREET_NAME,6b. Strong Indirect Identifier - excluded,"The name of the nearest cross-street, thoroughfare or road infrastructure component where the crash occurred.",
TAS_ACCIDENT,CROSS_STREET_TYPE,99a. Research Content,"The type of the nearest cross-street, thoroughfare or road infrastructure component where the crash occurred.",
TAS_ACCIDENT,ACC_CROSS_STREET_FULL_NAME,6b. Strong Indirect Identifier - excluded,"The full name and type of the nearest cross-street, thoroughfare or road infrastructure component where the crash occurred.",
TAS_ACCIDENT,LKI_HWY_KM_OFFSET_DIST,6b. Strong Indirect Identifier - excluded,The highway portion of the Location Code (LKI). The route or highway number as defined by the Ministry of Transportation and Infrastructure (MoTI).,
TAS_ACCIDENT,LKI_HWY_ROUTE_NUMBER,6b. Strong Indirect Identifier - excluded,"The highway portion of the Location Code (LKI). The route or highway number as defined by the Ministry of Transportation and Infrastructure (MoTI).

The LKI is comprised of three data entry fields which are a location on BC provincial highways in reference to a defined Inventory of Landmarks:
• Route
• Segment
• Offset",
TAS_ACCIDENT,LKI_HWY_SEGMENT_NUMBER,6b. Strong Indirect Identifier - excluded,"The highway portion of the Location Code (LKI). The route or highway number as defined by the Ministry of Transportation and Infrastructure (MoTI).

The LKI is comprised of three data entry fields which are a location on BC provincial highways in reference to a defined Inventory of Landmarks:
• Route
• Segment
• Offset",
TAS_ACCIDENT,ACC_ROAD_LOCATION_DESCRIPTION,6b. Strong Indirect Identifier - excluded,The full address or street name and cross street where the crash occurred.,
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,01-Rear End
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,02-Head On
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,03-Side Swipe – Opposite Direction
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,04-Backing
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,05-Intersection 90°
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,06-Overtaking
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,07-Right Turn – Rear End
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,08-Right Turn – Head On
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,09-Right Turn – Same Direction
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,10-Right Turn – Opposite Direction
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,11-Left Turn – Head On
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,12-Left Turn – One Way
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,13-Left Turn – Across Oncoming Traffic
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,14-Off Road Right
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,15-Off Road Left
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,16-One Way Street
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,99-Other
TAS_ACCIDENT,DIAGRAM,99a. Research Content,The numeric code that describes the primary crash occurrence.,00-Unknown
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,01-Rear End
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,02-Head On
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,03-Side Swipe – Opposite Direction
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,04-Backing
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,05-Intersection 90°
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,06-Overtaking
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,07-Right Turn – Rear End
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,08-Right Turn – Head On
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,09-Right Turn – Same Direction
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,10-Right Turn – Opposite Direction
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,11-Left Turn – Head On
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,12-Left Turn – One Way
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,13-Left Turn – Across Oncoming Traffic
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,14-Off Road Right
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,15-Off Road Left
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,16-One Way Street
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,99-Other
TAS_ACCIDENT,DIAGRAM_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the primary crash occurrence.,00-Unknown
TAS_ACCIDENT,LATITUDE,6b. Strong Indirect Identifier - excluded,The geographic coordinate that specifies the east - west position of the crash location.,
TAS_ACCIDENT,LONGITUDE,6b. Strong Indirect Identifier - excluded,The geographic coordinate that specifies the north–south position of the crash location.,
TAS_ACCIDENT,HIGHWAY_LOCATION,99a. Research Content,The numeric code that describes the road type on which the crash occurred.,1-Provincial highway
TAS_ACCIDENT,HIGHWAY_LOCATION,99a. Research Content,The numeric code that describes the road type on which the crash occurred.,2-City/municipal street
TAS_ACCIDENT,HIGHWAY_LOCATION,99a. Research Content,The numeric code that describes the road type on which the crash occurred.,3-Rural road
TAS_ACCIDENT,LOC_HIGHWAY_DESC,99a. Research Content,The text description that describes the road type on which the crash occurred.,1-Provincial highway
TAS_ACCIDENT,LOC_HIGHWAY_DESC,99a. Research Content,The text description that describes the road type on which the crash occurred.,2-City/municipal street
TAS_ACCIDENT,LOC_HIGHWAY_DESC,99a. Research Content,The text description that describes the road type on which the crash occurred.,3-Rural road
TAS_ACCIDENT,HIT_AND_RUN_INDICATOR,99a. Research Content,The numeric code that identifies whether a party involved in the crash failed to stop at scene.,1-Other
TAS_ACCIDENT,HIT_AND_RUN_INDICATOR,99a. Research Content,The numeric code that identifies whether a party involved in the crash failed to stop at scene.,6-Hit and run
TAS_ACCIDENT,HIT_AND_RUN_INDICATOR_SHORT_DESCRIPTION,99a. Research Content,The text description that identifies whether a party involved in the crash failed to stop at scene.,1-Other
TAS_ACCIDENT,HIT_AND_RUN_INDICATOR_SHORT_DESCRIPTION,99a. Research Content,The text description that identifies whether a party involved in the crash failed to stop at scene.,6-Hit and run
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,00-Unknown
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,01-School/Playground
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,02-Urban Residential
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,03-Apartment Residential
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,04-Business/Shopping
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,05-Industrial/Manufacturing
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,06-Agricultural/Undeveloped
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,07-Recreational/Park/Camping
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,08-Rural Residential
TAS_ACCIDENT,LAND_USE,99a. Research Content,The numeric code that describes the land use character of the location where the accident occurred.,99-Other
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,00-Unknown
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,01-School/Playground
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,02-Urban Residential
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,03-Apartment Residential
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,04-Business/Shopping
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,05-Industrial/Manufacturing
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,06-Agricultural/Undeveloped
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,07-Recreational/Park/Camping
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,08-Rural Residential
TAS_ACCIDENT,LAND_USE_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the land use character of the location where the accident occurred.,99-Other
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,00-Unknown
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,01-Daylight
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,02-Dawn
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,03-Dusk
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,04-Dark / Full Illumination
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,05-Dark / No Illumination
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,06-Dark / Some Illumination
TAS_ACCIDENT,LIGHT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,99-Other
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,00-Unknown
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,01-Daylight
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,02-Dawn
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,03-Dusk
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,04-Dark / Full Illumination
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,05-Dark / No Illumination
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,06-Dark / Some Illumination
TAS_ACCIDENT,LIGHT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,99-Other
TAS_ACCIDENT,LOCATION_1_EVENT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,01-On Roadway
TAS_ACCIDENT,LOCATION_1_EVENT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,02-Off Roadway
TAS_ACCIDENT,LOCATION_1_EVENT,99a. Research Content,The numeric code that describes the lighting condition at the time of the crash.,00-Unknown
TAS_ACCIDENT,LOCATION_1_EVENT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,01-On Roadway
TAS_ACCIDENT,LOCATION_1_EVENT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,02-Off Roadway
TAS_ACCIDENT,LOCATION_1_EVENT_SHORT_DESCRIPTION,99a. Research Content,The text description that describes the lighting condition at the time of the crash.,00-Unknown
TAS_ACCIDENT,ON_ROAD_FLAG,99a. Research Content,Identifies if the crash occurred on a roadway.,Y-Yes
TAS_ACCIDENT,ON_ROAD_FLAG,99a. Research Content,Identifies if the crash occurred on a roadway.,N-No
TAS_ACCIDENT,PARKING_LOT_FLAG,99a. Research Content,Identifies if the crash occurred in a parking lot.,Y-Yes
TAS_ACCIDENT,PARKING_LOT_FLAG,99a. Research Content,Identifies if the crash occurred in a parking lot.,N-No
TAS_ACCIDENT,PEDESTRIAN_ACTIVITY,99a. Research Content,"The numeric code that identifies the pedestrian’s action immediately prior to being struck, if applicable.",00-Unknown
TAS_ACCIDENT,PEDESTRIAN_ACTIVITY,99a. Research Content,"The numeric code that identifies the pedestrian’s action immediately prior to being struck, if applicable.",01-Crossing With Signal
TAS_ACCIDENT,PEDESTRIAN_ACTIVITY,99a. Research Content,"The numeric code that identifies the pedestrian’s action immediately prior to being struck, if applicable.",02-Crossing Against Signal
TAS_ACCIDENT,PEDESTRIAN_ACTIVITY,99a. Research Content,"The numeric code that identifies the pedestrian’s action immediately prior to being struck, if applicable.","03-Crossing,No Signal,Mark X-Walk"
TAS_ACCIDENT,PEDESTRIAN_ACTIVITY,99a. Research Content,"The numeric code that identifies the pedestrian’s action immediately prior to being struck, if applicable.","04-Crossing,No Signal,No X-Walk"
TAS_ACCIDENT,PEDESTRIAN_ACTIVITY,99a. Research Content,"The numeric code that identifies the pedestrian’s action immediately prior to being struck, if applicable.",05-Walking Along Hi-Way W/Traffic
TAS_ACCIDENT,PEDESTRIAN_ACTIVITY,99a. Research Content,"The numeric code that identifies the pedestrian’s action immediately prior to being struck, if applicable.",06-Walk Along Hi-Way Against Traf
